Name,ResourceType,TotalHeatProduction,MaxHeatProduction,TotalEmissions,MaxEmissions,TotalCost,MaxCost,Key,Key,Value,Key,Value,TotalUtilization,MaxUtilization
GB1,Gas,1146.6999999999996,4,200672.5,700,596284.000,2080.0,Gas,Gas,1032.0300000000013,Gas,3.6,286.6749999999999,1
OB1,Oil,13.379999999999999,1.0099999999999998,4415.4,333.29999999999995,8964.59999999999745400,676.700,Oil,Oil,20.069999999999993,Oil,1.5149999999999997,3.3449999999999998,0.25249999999999995
HP1,Electricity,24.979999999999997,6,0,0,12358.6340,2369.34,Electricity,Electricity,149.88,Electricity,36,4.163333333333333,1
GM1,Gas,1111.3400000000001,3.5,722371,2275,357779.5408799998572217194,1963.083999999999711170,Gas,Gas,2000.4119999999907,Gas,6.3,317.52571428571434,1
