Name,TotalHeatProduction,MaxHeatProduction,TotalEmissions,MaxEmissions,TotalCost,MaxCost,TotalResourceConsumption,MaxResourceConsumption,TotalUtilization,MaxUtilization
GB1,98.39999999999999,1.92,17220,336,51168.000,998.400,88.56,1.728,24.599999999999998,0.48
GB2,0,0,0,0,0,0,0,0,0,0
OB1,0,0,0,0,0,0,0,0,0,0
HP1,113.8,2,0,0,43624.5618,1033.50,682.8,12,18.966666666666665,0.3333333333333333
GM1,334.4199999999999,2.04,217373,1326,123410.4139085713886357774,1021.127314285714097508,601.9559999999997,3.672,95.54857142857145,0.5828571428571429
